Book Type:,Issue Number:,Link:,Title:,Published Date:,Description:,Working Group:,ISO Equivalent:
Magenta Book,1,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//141x1m1e1.pdf,Atmospheric Characterization and Forecasting for Optical Link Operations,Jan-22,This Recommended Practice provides a set of recommendations to facilitate interagency collection of atmospheric data and characterization of atmospheric parameters that affect space-to-ground free-space optical communications.,SLS-OPT,
Magenta Book,2,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//311x0m2.pdf,Reference Architecture for Space Data Systems,Dec-24,"Reference Architecture for Space Data Systems (RASDS) is intended to provide a standardized approach for description of data system architectures and high-level designs, which individual CCSDS working groups may use withinnCCSDS. This update is an extended approach, RASDSv2, specifically adapted for the space domain and aligned with best current practices in the fields of system and software architecture and modeling.",SEA-SA,
Magenta Book,7,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//320x0m7c1.pdf,CCSDS Spacecraft Identification Field Code Assignment Control Procedures,Nov-17,"This Recommended Practice defines the procedures governing assignment, relinquishment, and management of CCSDS Spacecraft Identification (SCID) codes.  The current update adds frequency band as a qualifier for SCID assignment, names the SCID qualified by version number and frequency band the Qualified SCID (Q-SCID), and replaces the outdated hard-copy request form with instruction to use the online form on the Space Assigned Numbers Authority (SANA) Web site.The current version of this document contains all updates through technical corrigendum 1, dated July 2019.",SEA Area,
Magenta Book,7 Cor. 1,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//320x0m7c1_tc1919.pdf,"Corrigendum 1 to CCSDS 320.0-M-7, Issued November 2017",Jul-19,"This Technical Corrigendum documents changes to CCSDS 320.0-M-7, CCSDS Spacecraft Identification Field Code Assignment Control Procedures (Magenta Book, Issue 7, November 2017)",SEA Area,
Magenta Book,3,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//350x8m3.pdf,Information Security Glossary of Terms,Feb-24,This document provides a central source of information-security terms and definitions.,SEA-SEC,
Magenta Book,1,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//351x0m1.pdf,Security Architecture for Space Data Systems,Nov-12,This Recommended Practice presents a Security Reference Architecture for Space Data Systems (SASDS) based on the Reference Architecture for Space Data Systems (RASDS) and is intended to provide a standardized approach for description of security within data system architectures and high-level designs.,SEA-SEC,20214
Magenta Book,1,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//354x0m1.pdf,Symmetric Key Management,Dec-23,This Recommended Practice specifies symmetric key management to support cryptographic operations.,SEA-SEC,
Magenta Book,2,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//506x0m2e1.pdf,Delta-Differential One Way Ranging (Delta-DOR) Operations,Feb-18,"This Recommended Practice specifies a set of standard practices and message formats for use in the navigation technique known as Delta Differential One-Way Ranging (Delta-DOR). The current issue adds clarifications, adds a subsection on quantitative validation criteria, renames 'Service Request' to 'Support Request', adds Support Request specifications, adds examples of Support Requests as new annex, deletes section 7 in favor of reference to the Delta-DOR Quasar Catalogue.",SEA-D-DOR,17809
Magenta Book,1,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//506x3m1.pdf,Delta-DOR Quasar Catalog Update Procedure,Feb-18,This Recommended Practice provides specifications for a quasar catalogue to be used in Delta-DOR measurements; description of the catalogue update process; procedures and qualitative criteria to evaluate whether the updates of such catalogues are acceptable; description of the registries to be included in a quasar catalogue; and rules to update SANA entries.,SEA-D-DOR,
Magenta Book,1,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01//520x1m1.pdf,Mission Operations Reference Model,Jul-10,"This Recommended Practice defines a mission operations reference model, which provides a common basis for coordinating the development of CCSDS Recommended Standards for mission operations service specifications and serves as a reference to maintain the consistency of those Recommended Standards.",MOIMS-SM&C,18201
